PC1,PC2,PC3,breakpoints,cell_cycle_state,cell_id,correlation,correlation0,correlation1,correlation2,correlation3,coverage_breadth,coverage_depth,library_id,mean_insert_size,median_insert_size,num_unique_bk,paired_duplicate_reads,paired_mapped_reads,percent_duplicate_reads,ploidy,pvalue,r_G1b,r_S4,r_ratio,slope,slope0,slope1,slope2,slope3,standard_deviation_insert_size,total_duplicate_reads,total_mapped_reads,total_properly_paired,total_reads,training_context,unmapped_reads,unpaired_duplicate_reads,unpaired_mapped_reads
0.5297654729842054,-0.31715025456993634,-0.04763949372215928,246.0,S,SA1044-A96147A-R22-C34,0.8623425842005622,0.4119087035301182,0.6666524581949421,0.66807139339445,0.6246572372539628,0.0530483558697,0.056159,A96147A,261.276089,225.0,66.0,180156,990991,0.19565092716,4.9374798582017405,0.0,0.40096889158389426,0.4304623224052646,0.5446424827784708,-91.69248374368684,-0.008178831460694643,-0.008834816063697844,-0.30620354176675135,-0.4120096288527328,150.082731,366577,2005209,1468036,2160270,holdout,155061,6265,23227
0.2066186010274395,0.30890210022281583,-0.006763441020570201,237.0,S,SA1044-A96147A-R22-C36,0.8179798209178717,0.33841026507368893,0.5841757848992856,0.5872494427375478,0.4713548811961922,0.058421663396,0.061991,A96147A,284.192969,243.0,55.0,200671,1069769,0.202429284403,2.4916210119239444,0.0,0.3510370913790635,0.37867584668623466,0.4958784466662435,-153.88051801141387,-0.004895770827803092,-0.0127001743340304,-0.1562753205376937,-0.5943421783390722,168.683885,408230,2165576,1644791,2359772,holdout,194196,6888,26038
-0.09028247569961906,-0.05920833556721196,-0.0015469457334881074,47.0,G2,SA1044-A96147A-R22-C45,0.45726628062174945,-0.2081055098196686,-0.32555024543742866,-0.31353143467214556,0.05509100403192138,0.0290788601991,0.030049,A96147A,346.292305,299.0,3.0,93788,488239,0.208096052398,2.7505639703512728,6.558694447582159e-280,-0.20447984150923376,-0.16803447357841228,-0.23519488535839522,2.278207310027516,0.013344128205347597,0.03673866657774799,0.5135013270782387,1.7097277183879307,206.838602,191202,991792,816744,1088282,holdout,96490,3626,15314
-0.0750057364747502,-0.030890505094225584,-0.005311916301671296,55.0,G1,SA1044-A96147A-R23-C11,0.6430496359467482,-0.192649220627978,-0.32879821791704983,-0.31109691410397117,-0.5729493818168683,0.0560485724064,0.059092999999999986,A96147A,295.199586,253.0,2.0,227599,1041031,0.235263185097,2.722687721559781,0.0,-0.23618807761020683,-0.16930150671323574,-0.2529831982463649,-11.370539994005773,0.024724283710118287,0.0324998146944635,2.3441752961950364,1.5122800705871053,174.357803,463249,2108954,1637439,2311142,holdout,202188,8051,26891
-0.01562482166103775,8.78900618233968e-05,0.006457127839402484,50.0,G1,SA1044-A96147A-R23-C13,0.832552759518421,-0.07002256266932114,-0.06802444851193967,-0.043713432505871945,-0.03587147598673044,0.08714645412010001,0.09333,A96147A,241.840592,208.0,0.0,411270,1815943,0.24256036577,2.7260715436674188,0.0,-0.08765366273398925,-0.05817213743617012,-0.10232138124588079,-41.69598426919373,0.02900646917995915,0.02272144355197179,1.0239012956925273,1.0559557219517823,138.067704,836500,3672695,2561023,4061860,holdout,389165,13960,40808
0.01789327866450429,0.0030851365803767176,0.049545390922034103,49.0,G1,SA1044-A96147A-R23-C19,0.7839207886609371,-0.012137190707340366,0.0332852615773863,0.05365483724911933,-0.13364412081453364,0.0666974988093,0.07084,A96147A,265.56562599999995,228.0,3.0,277133,1294147,0.230194243931,2.7331614566548503,0.0,0.14009924415530775,-0.019785710834544033,0.02069683479304251,-57.54622919139864,0.017404869813690663,0.018063077126017107,1.1610481922894889,0.8397115889818263,154.32471,563413,2617586,1934534,2847726,holdout,230140,9147,29291
-0.04150521350068753,-0.011710616264593849,0.003962521470782289,46.0,G1,SA1044-A96147A-R23-C20,0.7684288358858865,-0.11287037596345423,-0.20541634736794165,-0.18500875734792085,-0.4130102020967089,0.07100609789760001,0.075304,A96147A,268.870045,231.0,0.0,301110,1374547,0.234957368449,2.7276828875281987,0.0,-0.15865118375140586,-0.12242268528804699,-0.17262191836655846,-28.651244708413667,0.02563655623085889,0.02690380317743785,1.6723803334060456,1.2511445734023148,156.636305,611804,2779866,2068806,3036510,holdout,256644,9584,30772
-0.012087781837796688,-0.0017274515485952253,0.00870443352737636,49.0,G1,SA1044-A96147A-R23-C21,0.8338981598561145,-0.06635948420699807,-0.049328849456582606,-0.024728172551320166,-0.06764624101847762,0.07814973464769999,0.08338999999999999,A96147A,247.609224,213.0,0.0,324108,1564002,0.222070495942,2.719787302610377,0.0,-0.07524921156257951,-0.06361694141129987,-0.09852508230880874,-43.19234900787608,0.02506067064995949,0.022251710216893608,1.0629378510144456,1.0341612844308747,142.225867,659739,3164325,2240505,3478012,holdout,313687,11523,36320
-0.1350775994665295,-0.008318249522240025,0.017798875742743435,36.0,G2,SA1044-A96147A-R23-C45,0.4712636016373018,-0.20835632129107332,-0.29274391618298506,-0.28100709997425855,-0.19445031787115713,0.029863788849900007,0.030866,A96147A,329.566734,282.0,5.0,104925,516771,0.219285719055,2.6377699000966808,1.578282822560648e-299,-0.21149377741643552,-0.157524710074237,-0.23549911176248528,-3.5688850958147826,0.013979754631027658,0.036525756920983976,1.2326034547894535,1.7000457110578506,198.341028,213647,1048299,845368,1147372,holdout,99073,3797,14757
0.13678234581979884,0.0625191403690787,-0.10433108563883471,119.0,G2,SA1044-A96147A-R23-C47,0.8351134297808966,0.1650445735352493,0.43339872451815326,0.4383155977458545,0.35194315061621173,0.0767459054992,0.082527,A96147A,263.329653,224.0,13.0,318722,1519385,0.225163516356,2.7736061875604254,0.0,0.14895136796685662,0.3215129422900078,0.27306614518788436,-89.0222140614769,0.009513004239827266,0.004566943106863658,0.4009603985961606,0.21167950180130307,156.58340900000005,649015,3077369,2225457,3311618,holdout,234249,11571,38598
