breakpoints,cell_cycle_state,cell_id,correlation,correlation0,correlation1,correlation2,correlation3,coverage_breadth,coverage_depth,library_id,mean_insert_size,median_insert_size,paired_duplicate_reads,paired_mapped_reads,percent_duplicate_reads,ploidy,pvalue,slope,slope0,slope1,slope2,slope3,standard_deviation_insert_size,total_duplicate_reads,total_mapped_reads,total_properly_paired,total_reads,training_context,unmapped_reads,unpaired_duplicate_reads,unpaired_mapped_reads
1.0,G2,SA928-A73044A-R07-C30,0.09370381231018372,-0.3250295044003003,-0.2943921168776293,-0.311398973752779,-0.30140443635933034,0.112870877511,0.121665,A73044A,240.759785,210.0,436376,2518709,0.17519349971999998,1.9191105381888496,3.644380827591184e-12,9.308143048366192,-0.009803391047639073,-0.007201705383596762,-1.2270816366564063,-1.227303901073026,132.096362,892833,5096519,4050555,5581648,training,485129,20081,59101
152.0,G2,SA928-A73044A-R07-C32,-0.027130650921429973,-0.26920676431039414,-0.33033456249345033,-0.3429387412015087,-0.3632739018594747,0.07127363767469999,0.07520299999999999,A73044A,259.27306,226.0,260534,1517233,0.17344197267499994,5.810344827586207,0.045495276373686236,-10.15341755453561,-0.008021344482244322,-0.003494592105062757,-0.6333470641719178,-0.5854683701670598,143.99405,532628,3071079,2514745,3365330,training,294251,11560,36613
168.0,G2,SA928-A73044A-R07-C33,-0.030808440320507384,-0.25630548244112694,-0.2715663863047712,-0.28184200971711926,-0.3226263881442307,0.0406801285012,0.042266000000000005,A73044A,267.83506800000004,234.0,136665,832018,0.16554035770300002,5.305994199162101,0.022715941568800833,-11.3167352358249,-0.005099492583366768,-0.0038297459092132727,-0.7716154846160554,-0.6415941927489134,149.801804,278330,1681452,1391848,1845344,training,163892,5000,17415
124.0,G2,SA928-A73044A-R07-C35,-0.053467835494822695,-0.3681509010514108,-0.37528008999297546,-0.38826373455818847,-0.39481630340698465,0.101983971313,0.109385,A73044A,251.389808,219.0,403851,2236993,0.18214253161200006,3.810344827586207,7.495154439007038e-05,-19.400978550672484,-0.013245698195989242,-0.005587145384850425,-0.9774793624293182,-0.9339268009335163,139.43506100000002,823229,4520092,3648164,4886482,training,366390,15527,46106
1.0,G1,SA928-A73044A-R07-C37,0.08174454372401757,-0.3345649126478821,-0.29432224599867446,-0.3110900071193821,-0.29676847695083436,0.0948838219416,0.102984,A73044A,238.186511,208.0,391317,2160470,0.182867991857,1.9191105381888496,1.3606380949888602e-09,3.319837343495467,-0.008910836122837823,-0.00766886035180511,-1.2871035044953725,-1.3022724929348664,131.220742,799380,4371700,3449222,4787772,training,416072,16746,50760
493.0,S,SA928-A73044A-R07-C40,0.6198462442474615,0.36690524349681536,0.4821000164020715,0.4732878708957351,0.4812896293887518,0.096100003515,0.10256400000000003,A73044A,239.763734,210.0,370277,2114553,0.176516992066,2.5059619722848856,0.0,208.41744924439843,0.016364568277695828,0.011194433905582725,1.9053123890330848,1.7554850114200922,131.575764,754471,4274495,3387984,4638312,training,363817,13917,45389
115.0,S,SA928-A73044A-R07-C41,0.587479008642686,0.3653652747995732,0.47440349265238874,0.4675873592269488,0.486261390472109,0.0995284067758,0.106514,A73044A,228.125259,199.0,392995,2244572,0.17663164737599998,1.8611021592007735,0.0,350.60365227147037,0.017647510078188242,0.020606098958766344,3.4159629558293108,3.253028025371288,125.31109,801480,4537975,3497700,4904844,training,366869,15490,48831
52.0,S,SA928-A73044A-R07-C42,0.5636835411723203,0.3608021557268755,0.4530878725160805,0.44689182421429624,0.4512439224850285,0.0973285755461,0.104065,A73044A,243.356252,212.0,396882,2155975,0.185621762936,1.8691588785046729,0.0,315.12822784866097,0.014948171950942366,0.01790115525510362,3.0339429511426306,2.81954189021186,134.371667,808949,4358310,3468021,4735862,training,377552,15185,46359
91.0,S,SA928-A73044A-R07-C48,0.5431671817567152,0.33926552498020707,0.4300044864816083,0.4233947326619847,0.4301440963971518,0.102484041262,0.109825,A73044A,238.396021,209.0,395911,2264498,0.176289635744,1.853206574282952,0.0,303.7854312795611,0.015276573397001279,0.01701196355980642,2.900041241220984,2.6760335576865497,130.132257,806841,4577087,3631380,4955618,training,378531,15019,48091
325.0,S,SA928-A73044A-R07-C50,0.665293373146562,0.34738273567790545,0.5554780705765711,0.5489897569399607,0.557042371736481,0.0942428499814,0.10062,A73044A,236.39708,206.0,357802,2078361,0.173675274689,3.1430873348372543,0.0,246.5804497754515,0.018826746970502264,0.015353823474391008,2.6096579605197925,2.433080616311101,129.93553500000002,729804,4202475,3309074,4556348,training,353873,14200,45753
265.0,S,SA928-A73044A-R07-C52,0.49321733502428683,0.24819195212260184,0.34960177408476606,0.34141648300008176,0.3398245103653218,0.08061293501019999,0.08554099999999999,A73044A,249.88246400000003,218.0,297894,1736870,0.17305001049199994,1.8794714792136642,0.0,265.25520080872644,0.00914478587498168,0.013990981091172543,2.3138018040608515,2.1907983282599215,138.056812,607718,3512083,2839908,3825744,training,313661,11930,38343
1.0,G1,SA928-A73044A-R08-C03,0.12508239702498566,-0.2971039391086869,-0.24872001356982204,-0.2658652706790304,-0.2231411464369081,0.0984109788533,0.10715,A73044A,231.586046,200.0,415098,2285026,0.183393428382,1.9191105381888496,1.4875712760423865e-20,21.510904631626737,-0.007853302183646285,-0.00618981611843004,-0.9080239477381901,-1.0643098617484859,130.005045,847562,4621845,3563694,5038762,training,416917,17366,51793
