breakpoints,cell_cycle_state,cell_id,correlation,correlation0,correlation1,correlation2,correlation3,coverage_breadth,coverage_depth,library_id,mean_insert_size,median_insert_size,norm_bk,num_unique_bk,paired_duplicate_reads,paired_mapped_reads,percent_duplicate_reads,ploidy,pvalue,r_G1b,r_S4,r_ratio,slope,slope0,slope1,slope2,slope3,slope_G1b,slope_S4,slope_ratio,standard_deviation_insert_size,total_duplicate_reads,total_mapped_reads,total_properly_paired,total_reads,training_context,unmapped_reads,unpaired_duplicate_reads,unpaired_mapped_reads
1.0,G2,SA928-A73044A-R07-C30,0.09370381231018372,-0.32598717038811326,-0.3297925369439158,-0.32331481097975684,-0.31598112910406484,0.112870877511,0.121665,A73044A,240.759785,210.0,0.006576468573385854,0.0,436376,2518709,0.17519349971999998,1.9191105381888496,3.644380827591184e-12,-0.2472876660359856,-0.1955153317846215,-0.2715517764323112,9.308143048366192,-0.011194091932478074,-0.008497177789809938,-1.1815797954273446,-1.247408300703824,-2917.6873145263576,-3168.4303442457062,-522.0154800636546,132.096362,892833,5096519,4050555,5581648,training,485129,20081,59101
152.0,G2,SA928-A73044A-R07-C32,-0.027130650921429973,-0.2703611363492134,-0.3568729546985975,-0.35194537267201087,-0.4485869791212658,0.07127363767469999,0.07520299999999999,A73044A,259.27306,226.0,0.9996232231546498,4.0,260534,1517233,0.17344197267499994,5.810344827586207,0.045495276373686236,-0.2391244696538353,-0.1771944016424225,-0.26537207607708,-10.15341755453561,-0.009115886458420212,-0.0039750671104337425,-0.8899227923396333,-0.5864154871793595,-6418.2096829304055,-6536.4227472959055,-1160.3713436014389,143.99405,532628,3071079,2514745,3365330,training,294251,11560,36613
168.0,G2,SA928-A73044A-R07-C33,-0.030808440320507384,-0.25735868737670786,-0.2933177348464162,-0.2892075988403547,-0.46891334025776127,0.0406801285012,0.042266000000000005,A73044A,267.83506800000004,234.0,1.1048467203288235,2.0,136665,832018,0.16554035770300002,5.305994199162101,0.022715941568800833,-0.1846717981256842,-0.12935265900505213,-0.1895831084732121,-11.3167352358249,-0.005784203461880076,-0.004354869255879061,-1.6290928530482949,-0.6426314452384242,-3536.696075064553,-3402.955574019589,-591.3638847976679,149.801804,278330,1681452,1391848,1845344,training,163892,5000,17415
124.0,G2,SA928-A73044A-R07-C35,-0.053467835494822695,-0.3691627758687614,-0.40244180064575097,-0.3973370100975614,-0.4373575143083193,0.101983971313,0.109385,A73044A,251.389808,219.0,0.8154821030998459,2.0,403851,2236993,0.18214253161200006,3.810344827586207,7.495154439007038e-05,-0.2880854821269272,-0.20706694742689394,-0.3093473708982864,-19.400978550672484,-0.015031695476101422,-0.006323974269722144,-1.0846897644613291,-0.9336547494347885,-5600.496129584075,-5528.953823586249,-979.819323445432,139.43506100000002,823229,4520092,3648164,4886482,training,366390,15527,46106
1.0,G1,SA928-A73044A-R07-C37,0.08174454372401757,-0.3352654612519856,-0.3292484264275739,-0.32271331226427874,-0.3062242768141731,0.0948838219416,0.102984,A73044A,238.186511,208.0,0.006576468573385854,0.0,391317,2160470,0.182867991857,1.9191105381888496,1.3606380949888602e-09,-0.22642595964557236,-0.1284076142587065,-0.22169564836681013,3.319837343495467,-0.01016317840949747,-0.008980782550508347,-1.209207434207583,-1.3195735583295634,-2579.0072585820776,-2008.834588626709,-411.41295023783323,131.220742,799380,4371700,3449222,4787772,training,416072,16746,50760
493.0,S,SA928-A73044A-R07-C40,0.6198462442474615,0.3650685373608615,0.46175190294584484,0.4656838895192666,0.4720431018137207,0.096100003515,0.10256400000000003,A73044A,239.763734,210.0,3.242199006679226,4.0,370277,2114553,0.176516992066,2.5059619722848856,0.0,0.23177486806317973,0.3009067632305859,0.3739496979944234,208.41744924439843,0.018188196258400683,0.01097630372036634,1.679258181410716,1.655483426221387,2701.285968106868,4816.851109141817,710.0874697134958,131.575764,754471,4274495,3387984,4638312,training,363817,13917,45389
115.0,S,SA928-A73044A-R07-C41,0.587479008642686,0.3640809420696192,0.4593138947271539,0.4622043890174069,0.4822901789556212,0.0995284067758,0.106514,A73044A,228.125259,199.0,0.7562938859393732,1.0,392995,2244572,0.17663164737599998,1.8611021592007735,0.0,0.2864914904805292,0.32067632585894035,0.41315667514366095,350.60365227147037,0.019620058833123885,0.02052866718530353,3.1263659344580375,3.087182290195664,1862.1283038791453,2862.8053923005505,437.52924835979695,125.31109,801480,4537975,3497700,4904844,training,366869,15490,48831
52.0,S,SA928-A73044A-R07-C42,0.5636835411723203,0.35889451524518085,0.438555919942791,0.4414321980031995,0.442052403306605,0.0973285755461,0.104065,A73044A,243.356252,212.0,0.34197636581606444,0.0,396882,2155975,0.185621762936,1.8691588785046729,0.0,0.23746034076317832,0.3645185275704317,0.41083311787625404,315.12822784866097,0.016600920973637287,0.01773737503608232,2.6900904974689954,2.670542302632913,1640.7362752703382,3459.348803259524,462.49557405834526,134.371667,808949,4358310,3468021,4735862,training,377552,15185,46359
91.0,S,SA928-A73044A-R07-C48,0.5431671817567152,0.3374242744741878,0.41477747473499793,0.417795976457315,0.424393704315077,0.102484041262,0.109825,A73044A,238.396021,209.0,0.5984586401781127,0.0,395911,2264498,0.176289635744,1.853206574282952,0.0,0.21232453752820413,0.33322373972347125,0.36377695946366456,303.7854312795611,0.01695730317846812,0.01680312801844657,2.564984513848345,2.530537405426258,1439.4103389392906,3102.7545285915794,401.8038204963877,130.132257,806841,4577087,3631380,4955618,training,378531,15019,48091
325.0,S,SA928-A73044A-R07-C50,0.665293373146562,0.3463908104294001,0.5414739768260205,0.544348758239263,0.5543790270877518,0.0942428499814,0.10062,A73044A,236.39708,206.0,2.1373522863504024,3.0,357802,2078361,0.173675274689,3.1430873348372543,0.0,0.39739670094742174,0.31515956423604424,0.45342336982515596,246.5804497754515,0.020950547587018857,0.015432411826079394,2.326089612157556,2.3165060709444183,4398.945412645783,4791.614381458897,817.7539635885528,129.93553500000002,729804,4202475,3309074,4556348,training,353873,14200,45753
