PC1,PC2,PC3,breakpoints,cell_cycle_state,cell_id,correlation,correlation0,correlation1,correlation2,correlation3,coverage_breadth,coverage_depth,library_id,mean_insert_size,median_insert_size,num_unique_bk,paired_duplicate_reads,paired_mapped_reads,percent_duplicate_reads,ploidy,pvalue,r_G1b,r_S4,r_ratio,slope,slope0,slope1,slope2,slope3,standard_deviation_insert_size,total_duplicate_reads,total_mapped_reads,total_properly_paired,total_reads,training_context,unmapped_reads,unpaired_duplicate_reads,unpaired_mapped_reads,new_cell_cycle_state,checked,corrected
-0.017521522106345076,0.0009925313159354259,-0.01767079360538297,1.0,G1,SA928-A90553C-R62-C17,0.4976962605987558,-0.2771343453582723,-0.26050063923898625,-0.2806472266459992,-0.20037921904182165,0.046670003365900006,0.048376,A90553C,237.790126,204.0,0.0,128825,937441,0.138416114407,1.9191105381888496,0.0,-0.21718662165151087,-0.1377272124718616,-0.23305437940225102,33.26306044226212,0.00455410363535684,0.005362670172419793,1.3504920332002393,1.4865397818937651,136.340147,261243,1887851,1478534,2061328,training,173477,3593,12969,G1,False,False
-0.011383148002079464,0.0008683003506745787,-0.0166614636987284,1.0,G1,SA928-A90553C-R62-C18,0.5375310929518275,-0.09601253727530026,-0.06852139958967889,-0.08656129053535397,-0.000633976353476546,0.047797643223199994,0.049581,A90553C,237.03849100000002,203.0,0.0,137089,970146,0.142310461592,1.9191105381888496,0.0,-0.096594625457518,-0.061458870602336735,-0.1102391346933287,10.8576057964713,0.0038619156988842322,0.0043852322349904735,1.0657443777451308,1.2200499201068071,136.356057,278039,1954129,1523120,2153980,training,199851,3861,13837,G1,False,False
-0.0421348018310318,-0.0016905620101724586,-0.022741084113723296,1.0,G1,SA928-A90553C-R62-C19,-0.04710154078324737,-0.42121331458356187,-0.44083915524434,-0.4493361652951292,-0.3186993800399202,0.033730158974599994,0.034977,A90553C,224.90041200000002,192.0,0.0,106998,716024,0.150709655793,1.9191105381888496,0.00048678060736058416,-0.32106030746747954,-0.22277486114993245,-0.3375526098854337,118.31896775925202,0.00568063488178982,0.00906546782644434,2.0402981448934723,2.4959404843690587,130.56198700000002,217561,1443869,1087058,1616752,training,172883,3565,11821,G1,False,False
-0.013528470120509487,0.0013689894204228605,-0.017510170583706696,1.0,G2,SA928-A90553C-R62-C21,0.4967168185551799,-0.14963544097094836,-0.13031283636277471,-0.14843551068749464,-0.3220715574905412,0.04518117308090002,0.047070999999999995,A90553C,262.894167,225.0,0.0,111986,871177,0.129427063588,1.9191105381888496,0.0,-0.1350689252474601,-0.10517369610712336,-0.14788457807273026,20.020479069737227,0.0038298564011049205,0.004783270659399733,1.569838199163469,1.3284956969986332,153.99354499999995,226964,1754070,1429370,1889362,training,135292,2992,11715,G2,False,False
-0.010142763120608838,0.0017234573174786574,-0.016914330775592016,0.0,G2,SA928-A90553C-R62-C22,0.4894779907801119,-0.041862441464107336,-0.02182143977052944,-0.03659317890128108,-0.2652436685651572,0.0345711612881,0.035872,A90553C,280.36240499999997,239.0,0.0,90233,658865,0.137719839067,1.9307122139864648,0.0,-0.07066956772316357,-0.04010325673296651,-0.08200346533549671,4.619900620797177,0.002494631036495846,0.0041479138007645385,1.5290351224164689,1.1556852451013455,167.475092,182694,1326766,1098264,1431860,training,105094,2228,9036,G2,False,False
-0.0029233285935278248,-0.00774094880183171,-0.022429746608661216,65.0,G2,SA928-A90553C-R62-C23,0.5347332768034101,0.10208827188777647,0.05313688806740754,0.039490974212007736,-0.12975206589831706,0.0458940837674,0.047762,A90553C,267.62968,229.0,11.0,130364,891359,0.146909147674,1.8628746374476317,0.0,-0.02703967292829864,0.09330180090868496,0.011484383272786315,-5.269786425996215,0.002324017848316592,0.0036550870097018227,1.3151457352327731,1.0206636619682443,158.38223,263442,1793681,1467138,1940662,training,146981,2714,10962,G2,False,False
-0.011245839307421806,0.001564620257457734,-0.016774104851588225,1.0,G2,SA928-A90553C-R62-C24,0.5004706979592919,-0.05576338183545981,-0.032755705018872226,-0.0485172835837685,-0.1906967906777012,0.04744506914819999,0.049476,A90553C,261.089659,223.0,0.0,131974,931971,0.142468161217,1.9191105381888496,0.0,-0.08113500371486351,-0.03907459795967416,-0.0784532663942413,7.643968589023419,0.0035918945414556915,0.004242451169808837,1.4010059470845055,1.1811041841745755,153.469952,267273,1876329,1520061,2016938,training,140609,3325,12386,G2,False,False
-0.016444893205823118,-0.0008419560507273664,-0.017445570702565968,1.0,G2,SA928-A90553C-R62-C25,0.4146772757959056,-0.19590474767681726,-0.18690031799632487,-0.20308070867726155,-0.2705148071062846,0.0421476751662,0.043769,A90553C,251.238848,215.0,0.0,105943,823826,0.129458847046,1.9191105381888496,9.141871687553067e-227,-0.17821313878695574,-0.10158973165229876,-0.1807015637320368,33.4307709172195,0.0040271575205268455,0.005354206403433409,1.570857027690039,1.4840900017922722,146.381933,214720,1658921,1326868,1805296,training,146375,2834,11269,G2,False,False
-0.02150150976679369,-0.001422273490976317,-0.017362842107262397,0.0,G2,SA928-A90553C-R62-C26,0.25813782250698925,-0.2533657651237449,-0.2587525878778855,-0.27165510331373993,-0.3162169636291152,0.019948111830900003,0.020461,A90553C,250.03906800000001,214.0,0.0,27907,364349,0.07729659418269999,1.9307122139864648,2.8539637249137856e-84,-0.23808445085060925,-0.1780660371118563,-0.245312032499591,56.22279875041822,0.002203985788096544,0.006321663798048291,1.809478278954336,1.747602123716277,144.337089,56734,734186,589811,815090,training,80904,920,5487,G2,False,False
-0.01289849878282683,-0.001130351412425466,-0.016233067269054092,1.0,G2,SA928-A90553C-R62-C27,0.4940888829415428,-0.11816777432331857,-0.09805790489334587,-0.11467741685476138,-0.2720682915336056,0.038194004605099995,0.039541,A90553C,262.118533,224.0,0.0,87722,727146,0.12150867367799999,1.9191105381888496,0.0,-0.1212711260327434,-0.09060262575834126,-0.137785536416567,17.841896895625442,0.003132616392139873,0.004662162433959925,1.5233252670588295,1.2952847362987343,153.825545,177861,1464201,1191524,1578424,training,114223,2417,9908,G2,False,False
-0.004784051171915197,-0.006117507356209964,-0.024052815161210744,81.0,G2,SA928-A90553C-R62-C28,0.5677511152084491,0.1269546319547394,0.030781389600337574,0.01496771145489339,-0.04427346240867637,0.0466734493485,0.048764999999999996,A90553C,251.4127,214.0,4.0,122503,922823,0.133704961718,1.8533677086690301,0.0,-0.036809968253789266,0.07145081520604378,-0.010606466581333452,-2.9347027319578887,0.002250031959670868,0.003847241166066063,1.1547966033847978,1.0737341756867511,147.70056,248397,1858309,1478805,1990084,training,131775,3391,12662,G2,False,False
